Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
10677641907,"Feb 1, 2024, 11:10:02 PM",Afternoon Run,Run,,1299,3.67,,,false,,,activities/10677641907.gpx,,,1299.0,1299.0,3677.3,4.049,2.831,98.5,93.1,1437.1,1448.6,33.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4165.5,1706828416.0,2.0,21.6,21.5,13.5,0.6,1013.9,2.9,6.6,15.0,0.0,1706789760.0,1706831232.0,0.625,,,0.0,1.0,0.49,29401.0,0.0,,,,,0.0,2.831,0.0,,,,3502.0,,,,,,,,,,,,,""
10704388959,"Feb 5, 2024, 11:08:01 PM",Afternoon Run,Run,,1337,3.69,,,false,,,activities/10704388959.gpx,,,1337.0,1334.0,3689.9,3.82,2.766,93.3,88.9,1438.4,1448.8,39.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4154.2,1707174016.0,3.0,24.1,24.2,14.4,0.54,1008.4,2.3,4.8,344.0,0.0,1707135360.0,1707176960.0,0.875,,,0.0,1.0,0.67,27722.0,0.0,,,,,0.0,2.76,0.0,,,,3554.0,,,,,,,,,,,,,""
10711313309,"Feb 6, 2024, 11:05:26 PM",Afternoon Run,Run,,1398,4.02,,,false,,,activities/10711313309.gpx,,,1398.0,1398.0,4021.7,6.142,2.877,99.8,90.0,1438.1,1448.8,37.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4546.2,1707260416.0,1.0,19.4,18.3,5.7,0.41,1013.6,3.9,8.9,350.0,0.0,1707221760.0,1707263360.0,0.875,,,0.0,1.0,0.0,31970.0,0.0,,,,,0.0,2.877,0.0,,,,3786.0,,,,,,,,,,,,,""
10724416879,"Feb 8, 2024, 11:05:02 PM",Afternoon Run,Run,,1278,3.72,,,false,,,activities/10724416879.gpx,,,1278.0,1278.0,3725.1,4.337,2.915,102.7,97.8,1437.1,1448.8,36.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4219.1,1707433216.0,1.0,23.0,22.2,9.6,0.42,1013.4,2.8,5.8,50.0,0.0,1707394432.0,1707436288.0,0.875,,,0.0,1.0,0.13,35396.0,0.0,,,,,0.0,2.915,0.0,,,,3466.0,,,,,,,,,,,,,""
10750132560,"Feb 12, 2024, 11:05:02 PM",Afternoon Run,Run,,1277,3.64,,,false,,,activities/10750132560.gpx,,,1277.0,1277.0,3647.0,4.202,2.856,98.1,92.6,1437.1,1448.7,32.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4126.4,1707778816.0,1.0,27.2,27.2,14.2,0.45,1010.0,2.0,5.5,185.0,0.0,1707740032.0,1707781888.0,0.125,,,0.0,1.0,0.36,26669.0,0.0,,,,,0.0,2.856,0.0,,,,3446.0,,,,,,,,,,,,,""
10757102074,"Feb 13, 2024, 11:05:01 PM",Afternoon Run,Run,,1397,3.99,,,false,,,activities/10757102074.gpx,,,1397.0,1397.0,3990.4,4.063,2.856,105.3,99.7,1437.2,1448.8,36.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4524.3,1707865216.0,2.0,23.4,23.8,15.5,0.61,1013.4,4.6,9.8,14.0,0.0,1707826432.0,1707868416.0,0.125,,,0.23,5.0,0.62,17835.0,0.0,,,,,0.0,2.856,0.0,,,,3796.0,,,,,,,,,,,,,""
10763638251,"Feb 14, 2024, 11:10:04 PM",Afternoon Run,Run,,1338,3.70,,,false,,,activities/10763638251.gpx,,,1338.0,1338.0,3700.6,4.052,2.766,97.0,91.9,1437.5,1448.7,32.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4176.3,1707951616.0,1.0,24.2,23.8,11.9,0.46,1012.5,4.8,10.0,60.0,0.0,1707912704.0,1707954816.0,0.125,,,0.0,1.0,0.14,30142.0,0.0,,,,,0.0,2.766,0.0,,,,3590.0,,,,,,,,,,,,,""
10770058219,"Feb 15, 2024, 11:19:01 PM",Afternoon Run,Run,,995,3.05,,,false,,,activities/10770058219.gpx,,,995.0,995.0,3056.8,4.452,3.072,82.9,77.4,1437.3,1448.8,34.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3465.4,1708038016.0,1.0,23.7,23.0,9.9,0.42,1013.7,4.8,8.8,62.0,0.0,1707999104.0,1708041216.0,0.125,,,0.0,1.0,0.11,28123.0,0.0,,,,,0.0,3.072,0.0,,,,2680.0,,,,,,,,,,,,,""
10796987548,"Feb 19, 2024, 11:06:04 PM",Afternoon Run,Run,,1410,3.97,,,false,,,activities/10796987548.gpx,,,1410.0,1410.0,3976.0,4.484,2.82,108.4,102.9,1437.1,1448.7,34.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4517.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.82,0.0,,,,3782.0,,,,,,,,,,,,,""
10804085185,"Feb 20, 2024, 10:59:03 PM",Afternoon Run,Run,,1304,3.65,,,false,,,activities/10804085185.gpx,,,1304.0,1304.0,3651.4,4.362,2.8,101.8,95.6,1436.3,1448.6,38.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4165.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.8,0.0,,,,3516.0,,,,,,,,,,,,,""
10810924209,"Feb 21, 2024, 11:10:02 PM",Afternoon Run,Run,,1241,3.66,,,false,,,activities/10810924209.gpx,,,1241.0,1241.0,3660.0,4.906,2.949,102.7,96.9,1436.8,1448.7,32.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4155.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.949,0.0,,,,3368.0,,,,,,,,,,,,,""
10817193958,"Feb 22, 2024, 11:14:01 PM",Afternoon Run,Run,,1016,3.01,,,false,,,activities/10817193958.gpx,,,1016.0,1016.0,3012.5,5.874,2.965,82.9,77.6,1436.8,1448.7,34.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3419.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.965,0.0,,,,2734.0,,,,,,,,,,,,,""
10891625036,"Mar 4, 2024, 11:09:05 PM",Afternoon Run,Run,,1420,3.64,,,false,,,activities/10891625036.gpx,,,1420.0,1420.0,3644.7,3.584,2.567,106.9,101.4,1436.9,1448.7,37.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4193.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.567,0.0,,,,3672.0,,,,,,,,,,,,,""
10899112271,"Mar 5, 2024, 10:51:01 PM",Afternoon Run,Run,,1368,3.65,,,false,,,activities/10899112271.gpx,,,1368.0,1368.0,3657.1,3.632,2.673,101.8,96.2,1437.2,1448.5,32.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4168.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.673,0.0,,,,3586.0,,,,,,,,,,,,,""
10913094206,"Mar 7, 2024, 10:58:03 PM",Afternoon Run,Run,,1323,3.66,,,false,,,activities/10913094206.gpx,,,1323.0,1323.0,3660.8,4.452,2.767,100.5,95.0,1437.2,1448.8,34.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4178.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.767,0.0,,,,3546.0,,,,,,,,,,,,,""
10939826939,"Mar 11, 2024, 10:57:03 PM",Afternoon Run,Run,,1324,3.65,,,false,,,activities/10939826939.gpx,,,1324.0,1324.0,3657.0,4.122,2.762,98.6,93.3,1437.2,1448.8,31.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4121.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.762,0.0,,,,3512.0,,,,,,,,,,,,,""
10947046487,"Mar 12, 2024, 10:54:01 PM",Afternoon Run,Run,,1338,3.65,,,false,,,activities/10947046487.gpx,,,1338.0,1338.0,3650.7,4.04,2.728,105.3,99.7,1437.2,1448.8,34.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4201.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.728,0.0,,,,3566.0,,,,,,,,,,,,,""
10954372966,"Mar 13, 2024, 10:49:03 PM",Afternoon Run,Run,,1339,3.66,,,false,,,activities/10954372966.gpx,,,1339.0,1338.0,3660.0,3.932,2.735,99.2,93.9,1437.3,1448.6,34.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4161.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.733,0.0,,,,3534.0,,,,,,,,,,,,,""
10961444504,"Mar 14, 2024, 10:50:06 PM",Afternoon Run,Run,,1131,3.05,,,false,,,activities/10961444504.gpx,,,1131.0,1131.0,3049.0,4.543,2.696,84.2,78.0,1436.3,1448.5,31.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3449.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.696,0.0,,,,3040.0,,,,,,,,,,,,,""
10989425960,"Mar 18, 2024, 11:10:06 PM",Afternoon Run,Run,,1508,3.66,,,false,,,activities/10989425960.gpx,,,1508.0,1508.0,3664.5,9.349,2.43,96.6,95.3,1437.5,1450.7,36.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4128.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.43,0.0,,,,3920.0,,,,,,,,,,,,,""
11004284543,"Mar 20, 2024, 10:47:02 PM",Afternoon Run,Run,,1259,3.62,,,false,,,activities/11004284543.gpx,,,1259.0,1259.0,3628.1,5.16,2.882,98.9,93.3,1437.4,1448.8,33.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4124.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.882,0.0,,,,3422.0,,,,,,,,,,,,,""
11011288803,"Mar 21, 2024, 10:58:06 PM",Afternoon Run,Run,,1276,3.64,,,false,,,activities/11011288803.gpx,,,1276.0,1276.0,3646.1,4.738,2.857,83.5,80.7,1440.2,1448.7,29.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4040.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.857,0.0,,,,3496.0,,,,,,,,,,,,,""
11094245859,"Apr 2, 2024, 10:48:01 PM",Afternoon Run,Run,,1508,3.71,,,false,,,activities/11094245859.gpx,,,1508.0,1328.0,3712.3,7.354,2.795,90.5,85.3,1436.8,1451.5,33.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4207.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.462,0.0,,,,3422.0,,,,,,,,,,,,,""
11101493678,"Apr 3, 2024, 11:14:01 PM",Afternoon Run,Run,,1169,3.05,,,false,,,activities/11101493678.gpx,,,1169.0,1169.0,3052.6,3.676,2.611,83.4,82.8,1436.4,1451.7,33.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3491.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.611,0.0,,,,3094.0,,,,,2.987,,,,,,,,""
11108356435,"Apr 4, 2024, 10:50:02 PM",Afternoon Run,Run,,1336,3.65,,,false,,,activities/11108356435.gpx,,,1336.0,1326.0,3649.3,3.772,2.752,95.9,90.6,1437.5,1448.8,33.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4146.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.731,0.0,,,,3612.0,,,,,3.127,,,,,,,,""
11121504292,"Apr 6, 2024, 5:33:52 PM",Lunch Walk,Walk,,3459,5.33,,,false,,,activities/11121504292.gpx,,,3459.0,3459.0,5331.2,4.581,1.541,184.3,193.9,1445.1,1626.9,27.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.541,4818.6,,,,6650.0,,,,,,,,,,,,,""
11138193714,"Apr 8, 2024, 11:06:46 PM",Afternoon Walk,Walk,"",1540,3.67,,,false,,,activities/11138193714.gpx,,,1540.0,1540.0,3673.8,3.7,2.386,97.7,90.7,1436.3,1449.0,35.4,0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4216.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.386,0.0,,,,3976.0,,,,,,,,,,,,,""
11145707585,"Apr 9, 2024, 11:00:03 PM",Afternoon Run,Run,,1334,3.64,,,false,,,activities/11145707585.gpx,,,1334.0,1334.0,3645.1,3.95,2.732,102.6,96.3,1436.4,1448.7,34.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4167.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.732,0.0,,,,3576.0,,,,,3.124,,,,,,,,""
11153417594,"Apr 10, 2024, 11:14:05 PM",Afternoon Run,Run,,1262,3.60,,,false,,,activities/11153417594.gpx,,,1262.0,1262.0,3607.1,4.01,2.858,97.3,92.2,1437.4,1448.8,32.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4090.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.858,0.0,,,,3492.0,,,,,3.241,,,,,,,,""
11160622089,"Apr 11, 2024, 10:30:15 PM",Afternoon Run,Run,,1324,3.65,,,false,,,activities/11160622089.gpx,,,1324.0,1324.0,3657.8,4.87,2.763,94.5,90.4,1438.4,1448.9,34.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4125.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.763,0.0,,,,3640.0,,,,,3.116,,,,,,,,""
11191058838,"Apr 15, 2024, 10:40:02 PM",Afternoon Run,Run,,1173,3.02,,,false,,,activities/11191058838.gpx,,,1173.0,1173.0,3025.1,3.604,2.579,85.2,85.2,1437.1,1448.8,35.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3466.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.579,0.0,,,,3184.0,,,,,2.955,,,,,,,,""
11212548996,"Apr 18, 2024, 7:17:42 PM",Afternoon Walk,Walk,,3336,5.05,,,false,,,activities/11212548996.gpx,,,3336.0,3336.0,5055.4,2.506,1.515,178.6,178.6,1445.2,1626.8,22.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.515,4667.6,,,,6520.0,,,,,,,,,,,,,""
11242206574,"Apr 22, 2024, 10:48:07 PM",Afternoon Run,Run,,1383,3.61,,,false,,,activities/11242206574.gpx,,,1383.0,1383.0,3610.3,3.608,2.61,100.4,100.4,1436.4,1452.4,37.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4125.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.61,0.0,,,,3732.0,,,,,2.983,,,,,,,,""
11250049408,"Apr 23, 2024, 10:53:01 PM",Afternoon Run,Run,,1550,3.95,,,false,,,activities/11250049408.gpx,,,1550.0,1550.0,3957.1,3.704,2.553,99.3,99.3,1438.5,1448.9,30.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4458.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.553,0.0,,,,4166.0,,,,,2.877,,,,,,,,""
11951205979,"Jul 22, 2024, 12:07:10 PM",Morning Run,Run,,1380,3.54,,,false,,,activities/11951205979.gpx,,,1380.0,1377.0,3541.0,3.666,2.572,0.0,0.0,106.7,107.2,1.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3543.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.566,0.0,,,,3700.0,,,,,2.573,,,,,,,,""
11956066265,"Jul 22, 2024, 11:22:21 PM",Evening Walk,Walk,,2161,2.89,,,false,,,activities/11956066265.gpx,,,2161.0,2129.0,2897.0,3.546,1.361,26.7,26.7,93.3,101.3,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.341,0.0,,,,3742.0,,,,,,,,,,,,,""
11976766573,"Jul 25, 2024, 11:24:01 AM",Morning Run,Run,,920,2.68,,,false,,,activities/11976766573.gpx,,,920.0,920.0,2682.4,4.08,2.916,0.0,0.0,106.7,107.2,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2683.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.916,0.0,,,,2546.0,,,,,2.917,,,,,,,,""
12123240433,"Aug 11, 2024, 7:42:25 PM",Key walk,Walk,,1322,1.62,,,false,,,activities/12123240433.gpx,,,1322.0,1292.0,1626.6,2.118,1.259,2.8,2.8,0.7,3.6,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.23,0.0,,,,2236.0,,,,,,,,,,,,,media/1D0785AB-74E6-436D-8ED4-9BFFC4EBD7D9.jpg
13068349450,"Dec 7, 2024, 9:11:57 PM",Sunset walk,Walk,,5227,8.00,,,false,,,activities/13068349450.gpx,,,5227.0,5227.0,8005.2,3.86,1.532,47.8,47.8,0.7,24.9,6.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.532,0.0,,,,10030.0,,,,,,,,,,,,,media/7353710F-378C-46DD-9C30-27D04DE9A91B.jpg
13108728042,"Dec 13, 2024, 6:08:23 PM",Afternoon Walk,Walk,,2720,2.72,,,false,,,activities/13108728042.gpx,,,2720.0,2112.0,2720.7,2.58,1.288,6.3,6.3,0.5,4.6,7.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,315.8,,,,3708.0,,,,,,,,,,,,,""
13407024449,"Jan 20, 2025, 4:47:55 PM",Afternoon Run,Run,,4634,10.00,,,false,,,activities/13407024449.gpx,,,4634.0,4270.0,10002.4,7.593,2.342,6.2,6.2,0.5,4.6,26.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,10020.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.158,4047.7,,,,10480.0,,,,,2.347,,,,,,,,media/ADA733B9-413B-4144-8D0A-3564EB4FCB6B.jpg
13501893185,"Jan 31, 2025, 2:56:58 PM",Morning Run,Run,,1990,5.00,,,false,,,activities/13501893185.gpx,,,1990.0,1983.0,5002.3,3.82,2.523,26.2,26.2,0.7,24.9,5.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5036.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.514,0.0,,,,5174.0,,,,,2.54,,,,,,,,""
13564937601,"Feb 7, 2025, 3:07:55 PM",Morning Run,Run,,1818,5.00,,,false,,,activities/13564937601.gpx,,,1818.0,1818.0,5007.1,4.55,2.754,26.1,26.1,0.7,24.9,5.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5039.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.754,0.0,,,,4886.0,,,,,2.772,,,,,,,,""
13625730028,"Feb 14, 2025, 2:55:58 PM",Morning Run,Run,,1908,5.00,,,false,,,activities/13625730028.gpx,,,1908.0,1874.0,5002.1,4.78,2.669,27.2,27.2,0.3,24.9,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5036.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.622,0.0,,,,5022.0,,,,,2.688,,,,,,,,""
